199;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., sulla richiesta di riesame presentata dall’interessato avverso il rifiuto di istanza di accesso civico, il responsabile della prevenzione della corruzione e della trasparenza decide entro:;20 giorni.;10 giorni.;15 giorni.;30 giorni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
200;Il D. Lgs. n. 33/2013 e ss.mm.ii. prevede la possibilità che il richiedente cui sia stato opposto il diniego alla richiesta di accesso civico, possa presentare richiesta di riesame al responsabile della prevenzione della corruzione e della trasparenza che decide con provvedimento motivato, entro il termine di:;20 giorni.;10 giorni.;15 giorni.;60 giorni.;
201;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., se il difensore civico ha ritenuto illegittimo il diniego opposto dall’amministrazione ad una richiesta di accesso civico e se l’amministrazione non conferma il diniego:;entro 30 giorni dal ricevimento della comunicazione del difensore civico, l’accesso è consentito.;entro 30 giorni dal ricevimento della comunicazione del difensore civico, l’accesso è negato.;entro 10 giorni dal ricevimento della comunicazione del difensore civico, l’accesso è consentito.;entro 20 giorni dal ricevimento della comunicazione del difensore civico, l’accesso è consentito.;
202;Il D. Lgs. n. 33/2013 e ss.mm.ii. prevede la possibilità che, il richiedente cui sia stato opposto il diniego alla richiesta di accesso civico, qualora si tratti degli enti locali, possa presentare ricorso avverso il diniego al difensore civico competente per territorio. In tale ipotesi, se il difensore civico ha ritenuto illegittimo il diniego opposto dall’amministrazione e se questa non conferma il diniego:;entro 30 giorni dal ricevimento della comunicazione del difensore civico, l’accesso è consentito.;entro 30 giorni dal ricevimento della comunicazione del difensore civico, l’accesso è negato.;entro 20 giorni dal ricevimento della comunicazione del difensore civico, l’accesso è consentito.;entro 60 giorni dal ricevimento della comunicazione del difensore civico, l’accesso è consentito.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
203;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., in caso di richiesta di riesame di una istanza di accesso civico, avverso la decisione contraria del responsabile della prevenzione della corruzione e della trasparenza, il richiedente può:;in ogni caso, proporre ricorso al TAR.;in ogni caso, presentare ricorso al TAR o al difensore civico.;proporre ricorso al difensore civico o, nelle sole materie previste dalla legge, ricorso al TAR.;proporre ricorso al difensore civico, salvo le eccezioni espressamente previste.;
204;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., se il difensore civico ritiene illegittimo il diniego opposto dall’amministrazione ad una richiesta di accesso civico:;ne informa il richiedente e lo comunica all'amministrazione competente.;trasmette il proprio parere al responsabile della prevenzione della corruzione e della trasparenza.;trasmette il proprio parere al responsabile della prevenzione della corruzione e della trasparenza e al TAR.;nessuna tra le alternative proposte è corretta.;
205;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., quale attività può esperire il difensore civico che ritenga illegittimo il diniego opposto dall’amministrazione ad una richiesta di accesso civico?;Lo comunica all'amministrazione competente e ne informa il richiedente.;Lo comunica al responsabile della prevenzione della corruzione e della trasparenza.;Trasmette il proprio parere al TAR.;Trasmette il proprio parere all’ANAC.;
206;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., l’accesso “civico” può essere negato:;anche per evitare un pregiudizio concreto alla tutela di uno degli interessi privati indicati dalla legge.;per evitare un pregiudizio concreto alla tutela di un qualsiasi interesse pubblico.;esclusivamente per evitare un pregiudizio concreto alla tutela di uno degli interessi pubblici indicati dalla legge.;per evitare un pregiudizio concreto alla tutela di un qualsiasi interesse economico.;
207;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., può essere negato l’accesso civico se, per la tutela degli interessi indicati dalla norma, sia sufficiente fare ricorso al potere di differimento?;No, non può essere negato.;No, non può essere negato, salvo le eccezioni espressamente previste dalla norma stessa.;Sì, può sempre essere negato, salvo le eccezioni espressamente previste dalla norma stessa.;Sì, sempre.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
208;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., i documenti oggetto di pubblicazione obbligatoria e resi disponibili ai sensi della normativa vigente, sono riutilizzabili senza ulteriori restrizioni?;Sì, tranne l'obbligo di citare la fonte e di rispettarne l'integrità.;No, i documenti pubblicati in tal modo non sono mai riutilizzabili.;Sì, sono sempre riutilizzabili senza particolari restrizioni.;Tale fattispecie non è espressamente contemplata dalla normativa.;
209;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., nei casi in cui norme di legge prevedano la pubblicazione documenti, le PP.AA. provvedono a rendere non intelligibili:;i dati personali sensibili o giudiziari non indispensabili.;esclusivamente i dati personali non pertinenti.;tutti i dati personali.;esclusivamente i dati giudiziari.;
210;L'Autorità nazionale anticorruzione, sulla base di una valutazione del rischio corruttivo, delle esigenze di semplificazione e delle richieste di accesso, determina, anche su proposta del Garante per la protezione dei dati personali, i casi in cui la durata della pubblicazione del dato e del documento può essere:;inferiore a 5 anni.;inferiore a 3 anni.;superiore a 3 anni.;inferiore a 1 anno.;
211;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., i dati, le informazioni e i documenti, oggetto di pubblicazione obbligatoria ai sensi della normativa vigente, sono pubblicati:;per un periodo di 5 anni, salvo eccezioni.;per un periodo di 3 anni.;per un periodo di 2 anni.;per un periodo di 10 anni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
212;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., i documenti contenenti atti oggetto di pubblicazione obbligatoria ai sensi della normativa vigente, sono pubblicati:;tempestivamente.;immediatamente.;senza ritardo e, comunque, non oltre le 48 ore dal momento in cui sono disponibili.;senza ritardo e, comunque, non oltre le 12 ore dal momento in cui sono disponibili.;
213;Quale soggetto, a norma del D. Lgs. n. 33/2013 e ss.mm.ii., determina i casi in cui la durata della pubblicazione obbligatoria del documento può essere inferiore a 5 anni?;L’Autorità Nazionale Anticorruzione.;Il Garante della “Privacy”.;La Commissione indipendente per la Valutazione, la Trasparenza e l'Integrità delle Amministrazioni Pubbliche.;Il Ministero dell’Interno.;
214;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., ogni amministrazione ha l'obbligo di pubblicare sul proprio sito, tra l’altro:;il Piano triennale per la prevenzione della corruzione.;il Piano quinquennale per la prevenzione della corruzione.;il Piano semestrale per la prevenzione della corruzione.;il Piano biennale per la prevenzione della corruzione.;
215;Ogni Pubblica Amministrazione indica i responsabili della trasmissione e della pubblicazione dei documenti, delle informazioni e dei dati ai sensi del D. Lgs. n. 33/2013 e ss.mm.ii.:;in un'apposita sezione del Piano triennale per la prevenzione della corruzione.;in un'apposita sezione del “Piano annuale della Performance”.;In un'apposita sezione del “Piano triennale della Performance”.;In un'apposita sezione del Piano quinquennale per la prevenzione della corruzione.;
216;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., tutte le Pubbliche Amministrazioni hanno l'obbligo di pubblicare sul proprio sito istituzionale:;il Piano triennale per la prevenzione della corruzione.;il Protocollo annuale relativo alle modalità di esercizio del diritto di accesso civico.;il Protocollo triennale relativo alle modalità di esercizio del diritto di accesso civico.;nessuna delle alternative proposte è corretta.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
217;A norma dell’art. 13 del D. Lgs. n. 33/2013 e ss.mm.ii., le PP.AA. pubblicano e aggiornano le informazioni e i dati concernenti la propria organizzazione. In tale ambito, devono essere pubblicati i dati relativi:;agli organi di indirizzo politico e di amministrazione e gestione, con l'indicazione delle rispettive competenze.;a documenti e agli allegati del bilancio preventivo e del conto consuntivo, entro 10 giorni dalla loro adozione.;esclusivamente all'articolazione degli uffici, alle competenze di ciascun ufficio e i nomi dei dirigenti responsabili dei singoli uffici.;a documenti e agli allegati del bilancio preventivo e del conto consuntivo, entro 7 giorni dalla loro adozione.;
218;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., le PP.AA. pubblicano e aggiornano le informazioni e i dati concernenti la propria organizzazione. In tale ambito, devono essere pubblicati anche i dati relativi all'organizzazione dell'amministrazione mediante l'organigramma?;Sì, mediante la pubblicazione dell’organigramma o di analoghe rappresentazioni grafiche.;Sì, esclusivamente mediante la pubblicazione dell’organigramma.;Si, ma l’obbligo vale solo per le amministrazioni espressamente indicate dalla legge.;No, in nessun caso.;
219;A norma del D. Lgs. n. 33/2013 e ss.mm.ii., le PP.AA. pubblicano e aggiornano le informazioni e i dati concernenti la propria organizzazione. In tale ambito, devono essere pubblicati anche i nomi dei dirigenti responsabili dei singoli uffici?;Sì.;No, tele pubblicazione non è obbligatoria.;Sì, ma solo degli uffici di livello dirigenziale non generale.;No, salvo le eccezioni espressamente previste.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
220;A norma dell’art.14 del D. Lgs. n. 33/2013 e ss.mm.ii., in relazione agli obblighi di pubblicazione di informazioni relative ai titolari di incarichi politici, le PP.AA. hanno l’obbligo di pubblicare i curricula dei titolari di detti incarichi?;Sì, anche se non di carattere elettivo.;Sì, ma solo previo consenso degli interessati.;Sì, ma tale obbligo vige esclusivamente per le amministrazioni di livello statale.;No, in nessun caso.;
221;Il D. Lgs. n. 33/2013 e ss.mm.ii. individua specifici documenti contenenti atti oggetto di pubblicazione obbligatoria da parte delle Pubbliche Amministrazioni sul sito istituzionale. Tra gli atti da pubblicare obbligatoriamente, sono compresi anche i curricula dei titolari di incarichi politici?;Sì, anche se si tratta di incarichi politici non di carattere elettivo.;Si, tranne se si tratta di incarichi politici non di carattere elettivo.;L’obbligo della pubblicazione di tali dati vige solo per taluni incarichi politici espressamente indicati dalla legge.;No, in nessun caso.;
222;A norma dell’art.14 del D. Lgs. n. 33/2013 e ss.mm.ii., in relazione agli obblighi di pubblicazione di informazioni relative ai titolari di incarichi politici, le PP.AA. hanno l’obbligo di pubblicare gli importi di viaggi di servizio e missioni pagati con fondi pubblici nei confronti dei titolari di detti incarichi?;Sì, e tale obbligo riguarda anche le PP.AA. che non siano di livello statale.;No, la pubblicazione di tali dati è rimessa alla discrezionalità della singola amministrazione.;Sì, ma tale obbligo vige esclusivamente per le amministrazioni di livello statale.;No, la pubblicazione di tali dati è rimessa alla discrezionalità dei singoli dirigenti.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
223;Il D. Lgs. n. 33/2013 e ss.mm.ii. individua specifici documenti contenenti atti oggetto di pubblicazione obbligatoria da parte delle Pubbliche Amministrazioni sul sito istituzionale. Tra gli atti da pubblicare obbligatoriamente, sono compresi anche gli importi di viaggi di servizio e missioni pagati con fondi pubblici nei confronti dei titolari di incarichi politici?;Si, tale obbligo riguarda tutte le Pubbliche Amministrazioni.;No, la pubblicazione di tali dati non è espressamente prevista dal D. Lgs. n. 33/2013.;Sì, ma tale obbligo vige esclusivamente per le amministrazioni di livello statale.;Tale obbligo riguarda solamente le Amministrazioni centrali.;
