320;A norma della L. n. 354/1975 e ss.mm.ii., le istanze o i reclami dei detenuti ed internati possono essere rivolti:;tra gli altri, al Presidente della Giunta Regionale, ma non al Parlamento italiano.;tra gli altri al direttore dell’istituto ed Magistrato di sorveglianza, ma non al Presidente della Giunta Regionale.;tra gli altri al direttore dell’istituto ed Magistrato di sorveglianza, ma non al Provveditore regionale.;tra gli altri al direttore dell’istituto ed Magistrato di sorveglianza, ma non al Capo del Dipartimento dell’Amministrazione Penitenziaria.;
321;Ai sensi della L. n. 354/1975 e ss.mm.ii., nel caso di donne gestanti, l'esecuzione della sanzione della esclusione dalle attività in comune:;è sospesa.;può avvenire solo previa certificazione scritta, rilasciata dal sanitario, attestante che la donna può sopportarla.;è annullata.;è eseguita senza particolari limitazioni.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
322;“Il direttore informa anticipatamente il Magistrato di sorveglianza, il Questore e l'ufficio di polizia territorialmente competente di ogni dimissione anche temporanea dall'istituto”. Secondo il disposto dell’art.43 della L. n.354/1975 e ss.mm.ii., tale affermazione è:;corretta.;errata, poiché il direttore informa esclusivamente il Questore e l’ufficio di polizia territorialmente competente.;errata, poiché il direttore informa esclusivamente il Magistrato di sorveglianza.;errata, poiché a differenza del Magistrato di sorveglianza, il Questore e l'ufficio di polizia territorialmente competente sono informati solo nel caso di dimissione definitiva dall’istituto.;
323;A norma dell’art.57 della L. n. 354/1975 e ss.mm.ii., le misure alternative possono essere richieste:;anche dai congiunti prossimi del condannato.;anche dal Provveditore regionale dell'Amministrazione penitenziaria.;esclusivamente dal difensore del condannato.;anche dal Magistrato di sorveglianza.;
324;Secondo quanto disciplinato dalla L. n.354/1975 e ss.mm.ii., sezioni di case di reclusione possono essere istituite presso le case di custodia circondariali?;Sì, come previsto dalla stessa L. n.354/1975.;Sì, previa autorizzazione del Ministro della giustizia.;No, come espressamente escluso dalla stessa L. n.354/1975.;Sì, previa autorizzazione del Capo del Dipartimento dell'Amministrazione penitenziaria.;
325;Secondo quanto previsto dalla L. n. 354/1975 e ss.mm.ii., i centri di osservazione:;svolgono, tra l’altro, attività di ricerca scientifica.;sono costituiti come istituti autonomi, ma non come sezioni di altri istituti.;sono costituiti come sezioni di altri istituti, ma non come istituti autonomi.;svolgono esclusivamente perizie medico-legali delle persone sottoposte a procedimento penale.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
326;Ai sensi della L. n. 354/1975 e ss.mm.ii., la trasformazione degli istituti penitenziari, nonché delle loro sezioni è disposta:;con decreto ministeriale.;con provvedimento del Provveditore regionale competente.;con provvedimento del Capo del Dipartimento dell'Amministrazione penitenziaria.;con provvedimento adottato dal Consiglio di disciplina dell’istituto.;
327;Ai sensi della L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti affermazioni, è corretta?;Gli istituti penitenziari possono essere visitati senza autorizzazione, tra gli altri, dal Presidente del Consiglio dei ministri e dal Presidente della Corte costituzionale.;Il Prefetto e il Questore della provincia necessitano di specifica autorizzazione per visitare l’istituto penitenziario.;I membri del Parlamento europeo necessitano di specifica autorizzazione per visitare l’istituto penitenziario.;Gli istituti penitenziari possono essere visitati senza autorizzazione esclusivamente dal Direttore generale per gli istituti di prevenzione e di pena e dai magistrati e funzionari da lui delegati.;
328;A norma dell’art. 69 della L. n. 354/1975 e ss.mm.ii., quale, tra i seguenti organi, provvede all’applicazione, esecuzione, trasformazione o revoca, anche anticipata, delle misure di sicurezza?;Il Magistrato di sorveglianza.;Il Presidente della Repubblica.;Il Capo del Dipartimento dell'Amministrazione penitenziaria.;Il Ministro della giustizia.;
329;Secondo la L. n. 354/1975 e ss.mm.ii., e con specifico riferimento agli istituti penitenziari, quale, tra le seguenti affermazioni è corretta?;Le case mandamentali sono istituite nei capoluoghi di mandamento che non sono sede di case circondariali.;Gli istituti per l’esecuzione delle pene si distinguono in case mandamentali e circondariali.;Le case mandamentali assicurano la custodia degli imputati a disposizione di ogni autorità giudiziaria.;Le case mandamentali non assicurano la custodia delle persone fermate o arrestate dall’autorità di pubblica sicurezza o dagli organi di polizia giudiziaria.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
330;Secondo la L. n. 354/1975 e ss.mm.ii. e con specifico riferimento al procedimento di sorveglianza, chi nomina il difensore di ufficio?;Il Presidente del Tribunale di sorveglianza o il Magistrato di sorveglianza.;Il Magistrato di sorveglianza, in ogni caso.;Il Dipartimento dell’Amministrazione Penitenziaria.;Il Procuratore della Repubblica.;
331;A norma della L. n. 354/1975 e ss.mm.ii., la vigilanza sul Consiglio di aiuto sociale è di competenza:;del Ministero della Giustizia.;del Prefetto.;del Provveditore regionale dell'Amministrazione penitenziaria.;del Tribunale di sorveglianza.;
332;Secondo quanto previsto dalla L. n. 354/1975 e ss.mm.ii., l’opera prestata dai componenti del Consiglio di aiuto sociale è:;a titolo gratuito.;retribuita mediante un apposito capitolo di spesa del Dipartimento dell'Amministrazione penitenziaria.;retribuita mediante un apposito capitolo di spesa del Ministero della giustizia.;retribuita dalla Cassa delle Ammende.;
333;Secondo le disposizioni contenute nella L. n. 354/1975 e ss.mm.ii., quale, tra le seguenti affermazioni relative agli Uffici di Esecuzione Penale Esterna, è errata?;Approvano, con ordinanza, l’istanza di concessione della liberazione anticipata per quanto riguarda gli affidati al servizio sociale e i detenuti domiciliari.;Propongono all'autorità giudiziaria il programma di trattamento da applicare ai condannati che chiedono di essere ammessi all'affidamento in prova e alla detenzione domiciliare.;Svolgono, su richiesta dell'autorità giudiziaria, le inchieste utili a fornire i dati occorrenti per l'applicazione, la modificazione, la proroga e la revoca delle misure di sicurezza.;Controllano l'esecuzione dei programmi da parte degli ammessi alle misure alternative, ne riferiscono all'autorità giudiziaria, proponendo eventuali interventi di modificazione o di revoca.;
N°;TESTO DOMANDA;RISPOSTA ESATTA;RISPOSTA2;RISPOSTA3;RISPOSTA4;
334;Viste le disposizioni contenute nell’art. 16 della L. n. 354/1975 e ss.mm.ii., il regolamento interno di ciascun istituto è predisposto da una commissione composta:;"dal Magistrato di sorveglianza, dal direttore, dal medico, dal cappellano, dal preposto alle attività lavorative, da un educatore e da un assistente sociale; la commissione può avvalersi della collaborazione degli esperti indicati nel quarto comma dell'art. 80.";"dal Magistrato di sorveglianza, dal direttore, da un educatore e da un assistente sociale; la commissione deve avvalersi della collaborazione degli esperti indicati nel quarto comma dell'art. 80.";dal direttore, dal Comandante del reparto, dal medico, dal preposto alle attività lavorative, da un educatore e da un assistente sociale.;dal Magistrato di sorveglianza, dal direttore, dal Comandante del reparto e dal preposto alle attività lavorative.;
